Station	MonY	StatValue
Kaitaia3	196711	21.4
Kaitaia3	196712	22.1
Kaitaia3	196801	24.1
Kaitaia3	196802	24.8
Kaitaia3	196803	25.7
Kaitaia3	196804	20.3
Kaitaia3	196805	18.9
Kaitaia3	196806	16.2
Kaitaia3	196807	15.3
Kaitaia3	196808	15.8
Kaitaia3	196809	16.2
Kaitaia3	196810	17.8
Kaitaia3	196811	19.3
Kaitaia3	196812	21.2
Kaitaia3	196901	23.1
Kaitaia3	196902	23.7
Kaitaia3	196903	23.4
Kaitaia3	196904	20.2
Kaitaia3	196905	18.6
Kaitaia3	196906	15.7
Kaitaia3	196907	15.3
Kaitaia3	196908	16
Kaitaia3	196909	18.2
Kaitaia3	196910	17.9
Kaitaia3	196911	22.1
Kaitaia3	196912	23.9
Kaitaia3	197001	26.9
Kaitaia3	197002	26.1
Kaitaia3	197003	24.2
Kaitaia3	197004	22.2
Kaitaia3	197005	19.3
Kaitaia3	197006	17.6
Kaitaia3	197007	16.4
Kaitaia3	197008	16.8
Kaitaia3	197009	17.8
Kaitaia3	197010	19.2
Kaitaia3	197011	21.9
Kaitaia3	197012	24.8
Kaitaia3	197101	25.9
Kaitaia3	197102	25.5
Kaitaia3	197103	24.3
Kaitaia3	197104	22.2
Kaitaia3	197105	20.3
Kaitaia3	197106	18.4
Kaitaia3	197107	16.2
Kaitaia3	197108	17.5
Kaitaia3	197109	17.8
Kaitaia3	197110	18.7
Kaitaia3	197111	21
Kaitaia3	197112	23.3
Kaitaia3	197201	24.2
Kaitaia3	197202	24.6
Kaitaia3	197203	24.2
Kaitaia3	197204	21.1
Kaitaia3	197205	18.8
Kaitaia3	197206	15.7
Kaitaia3	197207	16.7
Kaitaia3	197208	16.2
Kaitaia3	197209	17.7
Kaitaia3	197210	19.2
Kaitaia3	197211	22.3
Kaitaia3	197212	21.3
Kaitaia3	197301	24.9
Kaitaia3	197302	25.4
Kaitaia3	197303	24.9
Kaitaia3	197304	21.6
Kaitaia3	197305	19.4
Kaitaia3	197306	18
Kaitaia3	197307	16.6
Kaitaia3	197308	17.5
Kaitaia3	197309	18.2
Kaitaia3	197310	19.9
Kaitaia3	197311	22.3
Kaitaia3	197312	24.7
Kaitaia3	197401	25.9
Kaitaia3	197402	28.3
Kaitaia3	197403	24.2
Kaitaia3	197404	22.8
Kaitaia3	197405	20
Kaitaia3	197406	17.8
Kaitaia3	197407	17.1
Kaitaia3	197408	17
Kaitaia3	197409	18.8
Kaitaia3	197410	19.7
Kaitaia3	197411	22
Kaitaia3	197412	24.7
Kaitaia3	197501	26.6
Kaitaia3	197502	25.8
Kaitaia3	197503	25.4
Kaitaia3	197504	22.6
Kaitaia3	197505	20.6
Kaitaia3	197506	17.2
Kaitaia3	197507	16
Kaitaia3	197508	17.2
Kaitaia3	197509	18.3
Kaitaia3	197510	19.5
Kaitaia3	197511	21.3
Kaitaia3	197512	23
Kaitaia3	197601	25.3
Kaitaia3	197602	24.1
Kaitaia3	197603	25
Kaitaia3	197604	22.1
Kaitaia3	197605	18.7
Kaitaia3	197606	16.6
Kaitaia3	197607	15.8
Kaitaia3	197608	16.9
Kaitaia3	197609	17.4
Kaitaia3	197610	18.9
Kaitaia3	197611	19.9
Kaitaia3	197612	22.3
Kaitaia3	197701	23.7
Kaitaia3	197702	25.8
Kaitaia3	197703	25
Kaitaia3	197704	21.5
Kaitaia3	197705	18
Kaitaia3	197706	17
Kaitaia3	197707	16.5
Kaitaia3	197708	16.8
Kaitaia3	197709	16.1
Kaitaia3	197710	18.7
Kaitaia3	197711	20.9
Kaitaia3	197712	22.6
Kaitaia3	197801	25.8
Kaitaia3	197802	27.3
Kaitaia3	197803	25.6
Kaitaia3	197804	22.9
Kaitaia3	197805	19.9
Kaitaia3	197806	17.3
Kaitaia3	197807	16.3
Kaitaia3	197808	16.8
Kaitaia3	197809	17.9
