Station	MonY	StatValue 
Kaitaia3	196711	14.3
Kaitaia3	196712	13.2
Kaitaia3	196801	12.3
Kaitaia3	196802	13.7
Kaitaia3	196803	16.4
Kaitaia3	196804	13.8
Kaitaia3	196805	9.7
Kaitaia3	196806	9.3
Kaitaia3	196807	7.5
Kaitaia3	196808	8.6
Kaitaia3	196809	7.9
Kaitaia3	196810	10.3
Kaitaia3	196811	10.2
Kaitaia3	196812	11.8
Kaitaia3	196901	13.6
Kaitaia3	196902	15
Kaitaia3	196903	11.8
Kaitaia3	196904	11.8
Kaitaia3	196905	10.4
Kaitaia3	196906	9.5
Kaitaia3	196907	5.3
Kaitaia3	196908	7.4
Kaitaia3	196909	9.3
Kaitaia3	196910	8.7
Kaitaia3	196911	11
Kaitaia3	196912	14.7
Kaitaia3	197001	15.6
Kaitaia3	197002	13.6
Kaitaia3	197003	15.3
Kaitaia3	197004	12.2
Kaitaia3	197005	9.6
Kaitaia3	197006	8.7
Kaitaia3	197007	6.1
Kaitaia3	197008	8.8
Kaitaia3	197009	10.1
Kaitaia3	197010	11
Kaitaia3	197011	10.6
Kaitaia3	197012	12.6
Kaitaia3	197101	15.4
Kaitaia3	197102	16.1
Kaitaia3	197103	13.1
Kaitaia3	197104	11.8
Kaitaia3	197105	9.9
Kaitaia3	197106	9.4
Kaitaia3	197107	7.4
Kaitaia3	197108	8.6
Kaitaia3	197109	9.9
Kaitaia3	197110	10.9
Kaitaia3	197111	11.1
Kaitaia3	197112	14
Kaitaia3	197201	13
Kaitaia3	197202	13.4
Kaitaia3	197203	16.5
Kaitaia3	197204	13
Kaitaia3	197205	10
Kaitaia3	197206	7.4
Kaitaia3	197207	7.8
Kaitaia3	197208	6
Kaitaia3	197209	7.8
Kaitaia3	197210	9.6
Kaitaia3	197211	13.8
Kaitaia3	197212	13
Kaitaia3	197301	14.5
Kaitaia3	197302	13.5
Kaitaia3	197303	14.3
Kaitaia3	197304	10.9
Kaitaia3	197305	9.6
Kaitaia3	197306	9.6
Kaitaia3	197307	7.2
Kaitaia3	197308	9.2
Kaitaia3	197309	10.1
Kaitaia3	197310	11
Kaitaia3	197311	13.2
Kaitaia3	197312	13.3
Kaitaia3	197401	13.2
Kaitaia3	197402	18.6
Kaitaia3	197403	13.4
Kaitaia3	197404	13.3
Kaitaia3	197405	9.4
Kaitaia3	197406	9
Kaitaia3	197407	7.9
Kaitaia3	197408	7.9
Kaitaia3	197409	9.6
Kaitaia3	197410	10.7
Kaitaia3	197411	13.3
Kaitaia3	197412	14
Kaitaia3	197501	14.1
Kaitaia3	197502	16.2
Kaitaia3	197503	15.4
Kaitaia3	197504	12.1
Kaitaia3	197505	11
Kaitaia3	197506	7.1
Kaitaia3	197507	6.2
Kaitaia3	197508	9
Kaitaia3	197509	8.8
Kaitaia3	197510	12.1
Kaitaia3	197511	11.5
