Station	MonY	StatValue
Kaitaia3	197101	69.6
Kaitaia3	197102	76.5
Kaitaia3	197103	76.1
Kaitaia3	197104	85.2
Kaitaia3	197105	87.7
Kaitaia3	197106	93.3
Kaitaia3	197107	84.4
Kaitaia3	197108	89.5
Kaitaia3	197109	78.3
Kaitaia3	197110	76.4
Kaitaia3	197111	67.8
Kaitaia3	197112	71.2
Kaitaia3	197201	66.4
Kaitaia3	197202	70.6
Kaitaia3	197203	81.5
Kaitaia3	197204	80.1
Kaitaia3	197205	82.5
Kaitaia3	197206	83.2
Kaitaia3	197207	87.2
Kaitaia3	197208	86.2
Kaitaia3	197209	74.6
Kaitaia3	197210	71.4
Kaitaia3	197211	75.9
Kaitaia3	197212	72.8
Kaitaia3	197301	73
Kaitaia3	197302	68.6
Kaitaia3	197303	78.1
Kaitaia3	197304	81.3
Kaitaia3	197305	88.1
Kaitaia3	197306	88.5
Kaitaia3	197307	86.8
Kaitaia3	197308	84.9
Kaitaia3	197309	82.3
Kaitaia3	197310	74
Kaitaia3	197311	77.7
Kaitaia3	197312	66.4
Kaitaia3	197401	64.3
Kaitaia3	197402	71.6
Kaitaia3	197403	74.2
Kaitaia3	197404	82.2
Kaitaia3	197405	91.3
Kaitaia3	197406	85.5
Kaitaia3	197407	91.6
Kaitaia3	197408	87.9
Kaitaia3	197409	79.9
Kaitaia3	197410	69.8
Kaitaia3	197411	77.6
Kaitaia3	197412	74.8
Kaitaia3	197501	78
Kaitaia3	197502	79.6
Kaitaia3	197503	79.8
Kaitaia3	197504	78.1
Kaitaia3	197505	86.8
Kaitaia3	197506	86.9
Kaitaia3	197507	84.5
Kaitaia3	197508	85.8
Kaitaia3	197509	77.8
Kaitaia3	197510	74.5
Kaitaia3	197511	77.1
Kaitaia3	197512	73.7
Kaitaia3	197601	82.1
Kaitaia3	197602	79.1
Kaitaia3	197603	73.6
Kaitaia3	197604	78.6
Kaitaia3	197605	85.2
Kaitaia3	197606	86.5
Kaitaia3	197607	87.8
Kaitaia3	197608	85.2
Kaitaia3	197609	78.9
Kaitaia3	197610	74.9
Kaitaia3	197611	75.2
Kaitaia3	197612	75.2
Kaitaia3	197701	79.4
Kaitaia3	197702	80.7
Kaitaia3	197703	80.5
Kaitaia3	197704	83.3
Kaitaia3	197705	85.3
Kaitaia3	197706	91.1
Kaitaia3	197707	89.3
Kaitaia3	197708	84.1
Kaitaia3	197709	73.4
Kaitaia3	197710	80.9
Kaitaia3	197711	78.1
Kaitaia3	197712	75.5
Kaitaia3	197801	77.7
Kaitaia3	197802	82.1
Kaitaia3	197803	77
Kaitaia3	197804	83.9
Kaitaia3	197805	86.7
Kaitaia3	197806	85.2
Kaitaia3	197807	85.2
Kaitaia3	197808	82.9
Kaitaia3	197809	81.8
Kaitaia3	197810	68.5
Kaitaia3	197811	78.3
Kaitaia3	197812	78
Kaitaia3	197901	77.7
Kaitaia3	197902	84.2
Kaitaia3	197903	83.7
Kaitaia3	197904	82.5
Kaitaia3	197905	82.8
Kaitaia3	197906	90.1
Kaitaia3	197907	87.5
Kaitaia3	197908	88.5
Kaitaia3	197909	76.4
Kaitaia3	197910	75.1
Kaitaia4	198012	79.8
Kaitaia4	198101	83.3
Kaitaia4	198102	84.5
Kaitaia4	198103	81.6
Kaitaia4	198104	85.3
Kaitaia4	198105	85.8
Kaitaia4	198106	92.1
Kaitaia4	198107	84.2
Kaitaia4	198108	85.4
Kaitaia4	198109	74.9
Kaitaia4	198110	73.5
Kaitaia4	198111	80.5
Kaitaia4	198112	79
Kaitaia4	198201	76.1
Kaitaia4	198202	81
Kaitaia4	198203	78.6
Kaitaia4	198204	82
Kaitaia4	198205	88.8
Kaitaia4	198206	93.1
Kaitaia4	198207	94.8
Kaitaia4	198208	92.4
Kaitaia4	198209	82.3
Kaitaia4	198210	71.5
Kaitaia4	198211	78.2
Kaitaia4	198212	79.6
Kaitaia4	198301	88.6
Kaitaia4	198302	86.3
Kaitaia4	198303	82
Kaitaia4	198304	84.4
Kaitaia4	198305	92
Kaitaia4	198306	95.4
Kaitaia4	198307	91.2
Kaitaia4	198308	88.7
Kaitaia4	198309	87.2
Kaitaia4	198310	81.7
Kaitaia4	198311	88
Kaitaia4	198312	90.4
Kaitaia4	198401	82.8
Kaitaia4	198402	84.6
Kaitaia4	198403	87.2
Kaitaia4	198404	86.8
Kaitaia4	198405	93.4
Kaitaia4	198406	93.6
Kaitaia4	198407	93
Kaitaia4	198408	92.5
Kaitaia4	198409	89
Kaitaia4	198410	73.8
Kaitaia4	198411	82.9
Kaitaia4	198412	80.1
Kaitaia4	198501	81.6
Kaitaia4	198502	80.2
Kaitaia4	198503	78.2
Kaitaia4	198504	77.8
Kaitaia4	198505	82.6
