NOM	DATE	RRE	QRRE	NB_RRE	TNE	QTNE	NB_TNE	TXE	QTXE	NB_TXE	TM	QTM	NB_TM	UNAB	QUNAB	NB_UNAB	UXAB	QUXAB	NB_UXAB	UMM	QUMM	ETP
MOUE	200501	189	v	31	22.8	v	31	28.9	v	31	25.9	v	31	61	v	31	99	v	31	87	v	138.9
MOUE	200502	52	v	28	22.6	v	28	29.6	v	28	26.1	v	28	55	v	28	98	v	28	81	v	NA
MOUE	200503	135.2	v	31	21.2	e	31	27.9	e	31	24.6	e	31	57	v	31	99	v	31	85	e	123.4
MOUE	200504	154.2	v	30	20.8	t	30	26.2	t	30	23.5	t	30	40	v	30	100	v	30	85	v	93.8
MOUE	200505	163.8	v	31	18.8	v	31	25.3	v	31	22	v	31	54	v	31	99	v	31	86	v	68.2
MOUE	200506	62.6	v	30	17.1	v	30	23.4	v	30	20.3	v	30	57	v	30	99	v	30	83	v	61.8
MOUE	200507	66.8	v	31	16.1	v	31	22.7	v	31	19.4	v	31	50	v	31	99	v	31	82	v	67
MOUE	200508	162.2	v	31	15.5	v	31	22.2	v	31	18.8	v	31	50	v	31	99	v	31	80	v	79.6
MOUE	200509	23.4	e	30	16.1	e	30	23.6	e	30	19.8	e	30	42	v	30	99	v	30	81	v	106.2
MOUE	200510	12.4	e	31	17.5	e	31	25.5	e	31	21.5	e	31	46	v	31	99	v	31	77	v	137.8
MOUE	200511	20.4	v	30	18.6	v	30	26.4	v	30	22.5	v	30	42	v	30	94	v	30	72	v	158.8
MOUE	200512	7.2	e	31	20	e	31	28.9	e	31	24.4	e	31	38	v	31	95	v	31	70	e	182.7
MOUE	200601	248.8	v	31	21.7	v	31	28.9	v	31	25.3	v	31	36	v	31	97	v	31	75	v	155.5
MOUE	200602	180.2	v	28	22.3	v	28	28.4	v	28	25.4	v	28	48	v	28	97	v	28	81	v	143.2
MOUE	200603	134	e	31	22.1	v	31	28.1	v	31	25.1	v	31	55	v	31	98	v	31	84	v	117.3
MOUE	200604	93.8	v	30	21.8	v	30	28.3	v	30	25.1	v	30	48	v	30	98	v	30	82	v	113.5
MOUE	200605	124	v	31	17.9	v	31	25	v	31	21.4	v	31	41	v	31	97	v	31	78	v	77.5
MOUE	200606	41.2	v	30	16.3	v	30	23.1	v	30	19.7	v	30	40	v	30	97	v	30	72	v	77.5
MOUE	200607	27.6	e	31	15.3	e	31	22.5	e	31	18.9	e	31	31	v	31	97	v	31	69	v	83.5
MOUE	200608	145.4	v	31	14.9	v	31	22.6	v	31	18.8	v	31	32	v	31	99	v	31	72	v	89.8
MOUE	200609	48.4	v	30	16.2	v	30	23.6	v	30	19.9	v	30	24	v	30	98	v	30	74	v	115.8
MOUE	200610	13.6	e	31	17.2	e	31	24.4	e	31	20.8	e	31	35	v	31	96	v	30	72	v	152.5
MOUE	200611	37.8	t	30	20.3	v	30	26.7	t	30	23.5	t	30	51	v	30	97	v	30	80	t	151.1
MOUE	200612	14.2	t	31	19.9	t	31	27.3	v	31	23.6	t	31	37	v	31	96	v	31	71	t	172.7
MOUE	200701	131	t	31	21.5	t	31	27.7	v	31	24.6	t	31	48	v	31	97	v	31	81	t	147.6
MOUE	200702	102	v	28	22.4	v	28	28.4	v	28	25.4	v	28	53	v	28	97	v	28	78	t	144.2
MOUE	200703	137.4	v	31	22.5	v	31	27.8	v	31	25.2	v	31	57	v	31	97	v	31	84	t	123.2
MOUE	200704	95.2	v	30	20.8	v	30	26.6	v	30	23.7	v	30	48	v	30	98	v	30	82	t	100
MOUE	200705	56.8	v	31	19.3	v	31	25.5	v	31	22.4	v	31	47	v	31	97	v	31	78	t	93.9
MOUE	200706	105.4	v	30	19.5	v	30	24.8	v	30	22.1	v	30	62	v	30	97	v	30	86	t	57.4
MOUE	200707	67	v	31	16.2	v	31	22.9	v	31	19.6	v	31	41	v	31	98	v	31	74	t	78.3
MOUE	200708	185.4	v	31	17.6	v	31	23.4	v	31	20.5	v	31	48	v	31	98	v	31	77	t	85.6
MOUE	200709	313.8	v	30	17.7	v	30	24.7	v	30	21.2	v	30	45	v	30	98	v	30	79	t	113.9
MOUE	200710	90.9	v	31	18.5	v	31	25.6	v	31	22.1	v	31	45	v	31	97	v	31	76	t	143.5
MOUE	200711	35.2	v	30	19.7	v	30	26.3	v	30	23	v	30	46	v	30	97	v	30	77	t	153.5
MOUE	200712	92.4	v	31	20.9	v	31	28.2	v	31	24.5	v	31	42	v	31	98	v	31	82	t	146.8
MOUE	200801	176.6	v	31	23.3	v	31	29.4	v	31	26.3	v	31	49	v	31	98	v	31	82	t	175.5
MOUE	200802	249	e	29	23.5	v	29	29.3	v	29	26.4	v	29	56	v	29	98	v	29	86	t	133.3
MOUE	200803	441.2	e	31	23	v	31	28.5	v	31	25.8	v	31	51	v	28	98	v	29	86	t	120.4
MOUE	200804	603.2	e	30	21.3	v	30	27.2	v	30	24.3	v	30	62	v	27	96	v	27	85	t	88.9
MOUE	200805	116.2	e	31	17.4	e	31	24.2	e	31	20.8	e	31	42	v	31	97	v	31	73	t	91.4
MOUE	200806	25.2	e	30	16.9	d	28	23.6	d	29	20.2	e	28	47	v	29	97	v	28	78	t	73.1
MOUE	200807	83.4	e	31	17.4	v	31	23.4	v	31	20.4	v	31	44	v	31	97	v	31	78	t	80.3
MOUE	200808	44.6	v	31	16.3	v	31	22.9	v	31	19.6	v	31	46	v	31	97	v	31	76	t	92.2
MOUE	200809	173	v	30	17.5	v	30	23.8	v	30	20.7	v	30	48	v	30	97	v	30	80	t	99.8
MOUE	200810	110	v	31	18.6	v	31	24.5	v	31	21.5	v	31	49	v	31	97	v	31	81	t	123.3
MOUE	200811	122.4	e	30	19.8	v	30	27.3	v	30	23.5	v	30	39	v	30	97	v	30	81	t	147
MOUE	200812	82.8	v	31	21.6	v	31	29	v	31	25.3	v	31	44	v	31	98	v	31	82	t	161.8
MOUE	200901	150.4	e	31	22.9	v	31	29.1	v	31	26	v	31	47	v	31	96	v	31	80	t	178.7
MOUE	200902	426.8	e	28	23.8	v	28	31.3	v	28	27.5	v	28	54	v	25	99	e	26	85	t	131.3
MOUE	200903	340.4	e	31	23.1	e	31	28.9	e	31	26	e	31	49	v	31	96	v	31	84	t	127.6
MOUE	200904	200.4	v	30	21.3	v	30	27.2	v	30	24.2	v	30	46	v	30	96	v	30	79	t	116.1
MOUE	200905	101.4	e	31	17.9	e	31	24.4	e	31	21.2	e	31	42	v	31	96	v	31	77	t	85
MOUE	200906	228	e	30	17.8	v	30	23.4	v	30	20.6	v	30	45	v	30	96	v	30	78	t	69
MOUE	200907	219.6	v	31	16.7	v	31	22.2	v	31	19.5	v	31	45	v	31	96	v	31	76	t	73.3
MOUE	200908	113.6	v	31	15.7	v	31	22.5	v	31	19.1	v	31	42	v	31	96	v	31	80	t	84.7
MOUE	200909	84.2	v	30	17	v	30	24	v	30	20.5	v	30	41	v	30	95	v	30	74	t	120.9
MOUE	200910	48	v	31	17.5	v	31	24.8	v	31	21.2	v	31	39	v	31	95	v	31	70	t	152.6
MOUE	200911	67.8	v	30	19	v	30	25.8	v	30	22.4	v	30	43	v	30	97	v	30	77	t	140.9
MOUE	200912	32.4	v	31	21.1	v	31	27.5	v	31	24.3	v	31	40	v	31	95	v	31	76	t	176.7
MOUE	201001	20.6	v	31	21.5	v	31	28.1	v	31	24.8	v	31	50	v	31	95	v	31	79	t	153
MOUE	201002	160.8	v	28	21.9	v	28	28.9	v	28	25.4	v	28	51	v	28	96	v	28	80	t	143.4
MOUE	201003	196.8	v	31	21.7	v	31	27.9	v	31	24.8	v	31	43	v	31	96	v	31	79	t	138.9
MOUE	201004	95	v	30	20.8	v	30	26.8	v	30	23.8	v	30	50	v	30	95	v	30	79	t	106
MOUE	201005	203.4	e	31	18.7	v	31	24.9	v	31	21.8	v	31	45	v	31	94	v	31	77	t	76.8
MOUE	201006	68.4	v	30	18.8	v	30	24.2	v	30	21.5	v	30	45	v	30	96	v	30	76	t	66
MOUE	201007	27.4	v	31	16.5	v	31	23.3	v	31	19.9	v	31	39	v	31	96	v	31	70	t	82.1
MOUE	201008	165.6	t	31	17.1	v	31	24.4	v	31	20.7	v	31	43	v	31	97	v	31	71	t	103.7
MOUE	201009	11.6	t	30	18.8	v	30	26.2	v	30	22.5	v	30	45	v	30	94	v	30	76	t	123.4
MOUE	201010	135.2	t	31	19.6	v	31	25.7	v	31	22.7	v	31	40	v	31	93	v	31	72	t	141.3
MOUE	201011	89.4	e	30	20	v	30	26.2	v	30	23.1	v	30	40	v	30	92	v	30	71	t	158.1
MOUE	201012	21.6	v	31	22	v	31	28.9	v	31	25.4	v	31	46	v	31	93	v	31	76	t	185.6
MOUE	201101	577.8	e	31	23.5	v	31	29.1	v	31	26.3	v	31	59	v	31	99	e	31	84	t	143.9
MOUE	201102	99.4	v	28	23.3	v	28	29.5	v	28	26.4	v	28	45	v	28	97	v	28	76	t	153.9
MOUE	201103	178.2	v	31	22	e	31	29.5	e	31	25.7	v	13	51	v	13	96	v	13	77	t	NA
MOUE	201104	216.6	v	30	21	e	30	27	e	30	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
MOUE	201105	195	v	31	19.5	e	31	25.5	e	31	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
MOUE	201106	38	e	30	18	e	30	25	e	30	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
MOUE	201107	76	v	31	16.5	e	31	23	e	31	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
MOUE	201108	106	e	31	16	e	31	23	e	31	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
MOUE	201109	75.6	v	30	16	e	30	23.5	e	30	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
MOUE	201110	30.2	v	31	18	e	31	26	e	31	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
MOUE	201111	32.4	v	30	19.8	e	30	26.8	e	30	23.3	e	30	45	v	22	92	v	22	72	t	159.1
MOUE	201112	249.4	v	31	22.5	v	31	28.4	v	31	25.5	v	31	44	v	31	95	v	31	79	t	152.4
MOUE	201201	84	v	31	21.8	v	31	28.4	v	31	25.1	v	31	46	v	31	95	v	31	77	t	168.7
MOUE	201202	201.6	e	29	23	v	29	28.8	v	29	25.9	v	29	51	v	29	95	v	29	79	t	139.4
MOUE	201203	416.4	t	31	22.6	v	31	28.1	v	31	25.4	v	31	53	v	30	95	v	31	83	t	114.4
MOUE	201204	112.4	t	30	21.1	v	30	27.4	v	30	24.3	v	30	50	v	30	94	v	30	77	t	118.8
MOUE	201205	22.8	t	31	18.8	v	31	25.3	v	31	22	v	31	40	v	31	93	v	31	71	t	105
MOUE	201206	217.6	t	30	17.9	v	30	23.9	v	30	20.9	v	30	42	v	30	94	v	30	79	t	67
MOUE	201207	54	t	31	17.3	v	31	22.9	v	31	20.1	v	31	43	v	31	94	v	31	74	t	78.1
MOUE	201208	66.4	e	31	15.3	v	31	22.9	v	31	19.1	v	31	39	v	31	95	v	31	73	t	88.5
MOUE	201209	152.9	e	30	16.8	v	30	23.6	v	30	20.2	v	30	39	v	30	95	v	30	74	t	116.5
MOUE	201210	78.9	e	31	18.1	v	31	24.8	v	31	21.4	v	31	39	v	31	95	v	31	76	t	134.1
MOUE	201211	93.2	v	30	19	v	30	26.1	v	30	22.5	v	30	45	v	30	95	v	30	77	t	154.4
MOUE	201212	150	e	31	21.5	v	31	28	v	31	24.8	v	31	53	v	31	95	v	31	82	t	156.8
MOUE	201301	255.6	e	31	21.3	v	31	28	v	31	24.7	v	31	43	v	31	95	v	31	78	t	167.2
MOUE	201302	56.2	e	28	21.6	v	28	28.3	v	28	24.9	v	28	51	v	28	95	v	28	77	t	152.8
MOUE	201303	146.6	v	31	22.1	v	31	28	v	31	25	v	31	52	v	31	96	v	31	82	t	123.6
MOUE	201304	232.4	e	30	21.4	v	30	27	v	30	24.2	v	30	62	v	30	99	v	30	86	t	91.2
MOUE	201305	69.6	v	31	18	v	31	24.3	v	31	21.1	v	31	50	v	31	99	v	31	82	t	72
MOUE	201306	112.8	v	30	18	v	30	23.4	v	30	20.7	v	30	51	v	30	98	v	30	80	t	65.3
MOUE	201307	486	v	31	17.3	v	31	22.7	v	31	20	v	31	42	v	31	97	v	31	81	t	67.4
MOUE	201308	74	v	31	15.6	v	31	22.8	v	31	19.2	v	31	41	v	31	97	v	31	77	t	85.2
MOUE	201309	45.4	v	30	16.2	v	30	23.8	v	30	20	v	30	42	v	30	98	v	30	78	t	109.6
MOUE	201310	63	e	31	18.5	v	31	25.9	v	31	22.2	v	31	38	v	31	98	v	31	77	t	153.8
MOUE	201311	108.2	v	30	19.1	v	30	26.6	v	30	22.9	v	30	41	v	30	99	v	30	78	t	145.9
MOUE	201312	88.4	v	31	20.3	v	31	27.6	v	31	23.9	v	31	45	v	31	99	v	31	81	t	155.8
MOUE	201401	255.4	v	31	22.5	v	31	28.4	v	31	25.5	v	31	43	v	31	99	v	31	83	t	157
MOUE	201402	226.4	e	28	21.6	v	28	28.1	v	28	24.9	v	28	52	v	28	96	v	28	84	t	126
MOUE	201403	67.2	v	31	22	v	31	27.8	v	31	24.9	v	31	50	v	31	97	v	31	80	t	147.8
MOUE	201404	67.6	e	30	20.3	v	30	27.3	v	30	23.8	v	30	51	v	30	96	v	30	81	t	109.8
MOUE	201405	102	e	31	18.7	e	31	25	e	31	21.9	e	31	50	v	22	95	v	21	80	t	NA
MOUE	201406	23.3	e	30	17.7	e	30	24.1	e	30	20.9	e	30	44	v	30	97	v	30	78	t	69.8
MOUE	201407	58.7	v	31	15.7	v	31	22.7	v	31	19.2	v	31	39	v	31	96	v	31	71	t	78.5
MOUE	201408	111.8	v	31	17.4	v	31	22.9	v	31	20.2	v	31	37	v	31	97	v	31	80	t	70.2
MOUE	201409	109	v	30	17	v	30	23.4	v	30	20.2	v	30	42	v	30	96	v	30	79	t	90.1
MOUE	201410	42.5	v	31	17.1	v	31	24.6	v	31	20.8	v	31	40	v	31	96	v	31	75	t	132.3
MOUE	201411	45.2	v	30	19.1	v	30	26.4	v	30	22.8	v	30	44	v	30	95	v	30	75	t	148.9
MOUE	201412	113.4	v	31	22.1	v	31	28	v	31	25.1	v	31	47	v	31	95	v	31	79	t	160.9
MOUE	201501	135.7	v	31	22.5	v	31	28.4	v	31	25.5	v	31	50	v	31	97	v	31	81	t	143.7
MOUE	201502	92.2	v	28	24.3	v	28	29.5	v	28	26.9	v	28	47	v	28	95	v	28	82	t	133
MOUE	201503	76.8	v	31	22.5	v	31	28.7	v	31	25.6	v	31	43	v	31	95	v	31	77	t	143.6
MOUE	201504	134.9	e	30	21.3	e	30	26.9	e	30	24.1	e	30	45	e	30	96	v	30	76	t	114
MOUE	201505	66.8	e	31	19.2	e	31	25.1	e	31	22.1	e	31	38	v	31	96	v	31	76	t	79.5
MOUE	201506	69.2	v	30	17.5	v	30	23.4	v	30	20.5	v	30	43	v	30	97	v	30	74	t	77.6
