POSTE	DATE	RRE	QRRE	NB_RRE	TNE	QTNE	NB_TNE	TXE	QTXE	NB_TXE	TM	QTM	NB_TM	UNAB	QUNAB	NB_UNAB	UXAB	QUXAB	NB_UXAB	UMM	QUMM	ETP
98832006	200501	445	v	31	22.6	e	31	28.7	e	31	25.6	e	31	56	v	31	99	v	31	86	e	115
98832006	200502	126.6	v	28	21.5	v	28	30	v	28	25.7	v	28	46	v	28	99	v	28	82	v	132.5
98832006	200503	117.6	v	31	20	v	31	27.9	v	31	24	v	31	41	v	31	99	v	31	84	v	106.9
98832006	200504	539.2	v	30	19.8	v	30	25.2	v	30	22.5	v	30	52	v	30	99	v	30	87	v	60.3
98832006	200505	85.4	v	31	17.7	v	31	24.7	v	31	21.2	v	31	51	v	31	99	v	31	86	v	53.8
98832006	200506	119.6	v	30	15	v	30	22.9	v	30	19	v	30	48	v	30	99	v	30	86	v	44.2
98832006	200507	129.6	v	31	14.3	v	31	22.1	v	31	18.2	v	31	47	v	31	99	v	31	86	v	50.6
98832006	200508	149.6	v	31	13.5	v	31	21.9	v	31	17.7	v	31	41	v	31	99	v	31	84	v	63.9
98832006	200509	59.8	v	30	14.7	v	30	24.3	v	30	19.5	v	30	37	v	30	99	v	30	79	v	106.3
98832006	200510	48.2	v	31	15.4	v	31	27.1	v	31	21.2	v	31	27	v	31	98	v	31	77	v	129.7
98832006	200511	146	v	30	17.1	v	30	26.8	v	30	22	v	30	41	v	30	98	v	30	78	v	123.8
98832006	200512	22.2	v	31	17.6	v	31	29.6	v	31	23.6	v	31	27	v	31	98	v	31	74	v	175.5
98832006	200601	216.8	e	31	19.9	v	31	29	v	31	24.5	v	31	34	v	31	97	v	31	79	v	135.7
98832006	200602	387.2	v	28	21.7	v	28	28	v	28	24.8	v	28	40	v	28	97	v	28	84	v	106.1
98832006	200603	253	v	31	21.8	v	31	28.1	v	31	25	v	31	48	v	31	96	v	31	83	v	100
98832006	200604	333	v	30	20.9	v	30	27.7	v	30	24.3	v	30	45	v	30	96	v	30	84	v	86.7
98832006	200605	187.2	v	31	17.1	v	31	24.7	v	31	20.9	v	31	35	v	31	97	v	31	83	v	59.1
98832006	200606	47.4	v	30	14.5	v	30	22.3	v	30	18.4	v	30	40	v	30	97	v	30	81	v	47.1
98832006	200607	64	e	31	13.5	e	31	21.4	e	31	17.5	e	31	44	v	31	98	v	31	79	e	51.3
98832006	200608	131.8	v	31	13.3	v	31	22.6	v	31	17.9	v	31	38	v	31	98	v	31	80	v	72.9
98832006	200609	119	v	30	14.8	v	30	22.8	v	30	18.8	v	30	40	v	30	98	v	30	81	v	82.2
98832006	200610	53.6	v	31	15.9	v	31	23.8	v	31	19.8	v	31	35	v	31	97	v	31	76	v	116
98832006	200611	203.6	t	30	18.7	t	30	26.8	t	30	22.7	t	30	29	t	30	96	v	30	80	t	133.5
98832006	200612	87.4	t	31	18.4	t	31	27	v	31	22.7	t	31	30	v	31	97	v	31	75	t	145.9
98832006	200701	234.4	t	31	19.8	t	31	27.8	v	31	23.8	t	31	48	v	31	97	t	31	83	t	119.9
98832006	200702	118.6	v	28	21	v	28	28.3	v	28	24.7	v	28	46	v	28	97	v	28	80	t	117.4
98832006	200703	562.2	e	31	21.3	e	31	27.8	e	31	24.5	e	31	49	v	31	97	v	31	84	t	101.7
